"team","mins"
"Incarnate Word",0.796423508205363
"Grand Canyon",0.774720627498819
"Michigan St.",0.789075752435419
"Cal St. Fullerton",0.653992916000287
"Southeastern Louisiana",0.56990611961057
"UC Riverside",0.676313229571984
"Clemson",0.568219839471027
"Colorado",0.405806939925248
"Coastal Carolina",0.626009493172564
"North Carolina A&T",0.617863156929092
"Washington",0.76124775044991
"Colorado St.",0.569012178619757
"UMBC",0.768738756745952
"Louisiana Monroe",0.692174158965361
"The Citadel",0.720180154206938
"Hofstra",0.532551060920199
"UMass Lowell",0.644226927686776
"South Alabama",0.432768841249867
"Butler",0.520695860827834
"Evansville",0.481669344088594
"Northern Colorado",0.725926839800136
"Iowa",0.799342129043918
"Florida A&M",0.746296007915958
"TCU",0.77562545788074
"Middle Tennessee",0.538384646141543
"Oregon",0.184873949579832
"Harvard",0.735063943500668
"Florida",0.500820067534974
"Saint Joseph's",0.871683419109172
"Saint Mary's",0.6768
"Texas A&M Corpus Chris",0.611355457816873
"Ohio St.",0.592914726455927
"Florida St.",0.4712
"Seton Hall",0.800172797707269
"North Carolina",0.48049066066149
"Lehigh",0.491651510182176
"Navy",0.815834011033695
"Santa Clara",0.649934028314334
"Loyola Marymount",0.310842183255125
"Delaware",0.641471705658868
"Miami OH",0.633983043652286
"New Mexico",0.315584571154768
"Coppin St.",0.4302
"Temple",0.7437449304299
"Monmouth",0.429114177164567
"Southern",0.574686992716609
"Southern Miss",0.567260322443092
"California",0.170565886822635
"Georgia St.",0.595192765349833
"Miami FL",0.6776
"Georgia",0.77715273680362
"North Dakota",0.491882111884988
"Princeton",0.551931158695217
"Saint Louis",0.648955223880597
"Arizona St.",0.575484903019396
"Stetson",0.763859262700021
"Marshall",0.431180482812113
"Eastern Michigan",0.4494653418809
"Niagara",0.853229354129174
"Campbell",0.870341325401719
"Mercer",0.909340909781519
"St. Bonaventure",0.734653069386123
"Oregon St.",0.940802579712537
"Lipscomb",0.816625332136196
"Kennesaw St.",0.57075100426948
"James Madison",0.285142971405719
"Georgetown",0.465086158351166
"USC Upstate",0.69512311034772
"Iona",0.54854704797048
"New Hampshire",0.648798812726092
"Wright St.",0.585170731707317
"Iowa St.",0.251925989332982
"Alcorn St.",0.61823318149965
"Purdue",0.75743287157986
"Utah Valley",0.70753106097901
"Mississippi St.",0.741223858528005
"Holy Cross",0.407355586648011
"Houston",0.565363396497961
"Hampton",0.743312686804929
"Western Michigan",0.8428
"New Mexico St.",0.477527585897551
"Ball St.",0.737585246374028
"Milwaukee",0.739704118352659
"Portland",0.35234080319503
"Albany",0.685548032188569
"Kent St.",0.629548180727709
"San Francisco",0.879883998902693
"Bucknell",0.924642219930289
"Connecticut",0.470423884409675
"Florida Gulf Coast",0.586255626504763
"San Jose St.",0.431513697260548
"Drake",0.85
"Missouri",0.694099209708103
"Cincinnati",0.6662
"South Dakota St.",0.711828653224252
"Boston University",0.64617648837725
"Belmont",0.607242897158863
"Bradley",0.969962725978017
"Troy",0.67313074770092
"Gonzaga",0.461092218443689
"South Florida",0.286768367208365
"Army",0.4856
"Loyola MD",0.823760513501549
"Air Force",0.721581681889518
"Siena",0.381260771922494
"Southern Utah",0.556511302260452
"Pittsburgh",0.127223019993372
"Furman",0.862147426265402
"LIU Brooklyn",0.532132132132132
"Massachusetts",0.4444
"Mount St. Mary's",0.4692
"Bryant",0.61371104815864
"Syracuse",0.297774304807071
"Jacksonville St.",0.597616934972747
"McNeese St.",0.719002883097823
"Quinnipiac",0.3334
"Rhode Island",0.764766225510027
"High Point",0.565357541773803
"Radford",0.893868070397273
"East Tennessee St.",0.414517096580684
"Duquesne",0.523361101050344
"Virginia Tech",0.57946398498773
"North Carolina Central",0.115
"North Dakota St.",0.556488702259548
"Northwestern St.",0.476569913690521
"Fairfield",0.5872
"Arkansas",0.620627623425944
"UNC Wilmington",0.347679668669586
"George Washington",0.41972037463416
"UNC Asheville",0.729748603351955
"Dayton",0.34478459620446
"Stephen F. Austin",0.661890163591851
"Arkansas St.",0.617970782469482
"Oakland",0.762
"Southeast Missouri St.",0.440971692206089
"Binghamton",0.864100710498151
"George Mason",0.539629805410536
"Old Dominion",0.540942150446734
"Green Bay",0.206
"UNC Greensboro",0.72174828685689
"Little Rock",0.2708
"Detroit",0.687838108595472
"Austin Peay",0.225509796081567
"Rutgers",0.676717252396166
"Nicholls St.",0.429813324500357
"Sacramento St.",0.437676074280598
"William & Mary",0.479304139172166
"Colgate",0.908218356328734
"USC",0.971277257951368
"UNLV",0.389318798011749
"Illinois St.",0.335429437444864
"Manhattan",0.710057988402319
"Louisiana Lafayette",0.770491803278688
"Utah",0.52505916708559
"Louisiana Tech",0.720033019749548
"Youngstown St.",0.54971050023473
"Jacksonville",0.447080718439731
"Tennessee St.",0.533495182459601
"Stanford",0.720398637189128
"Longwood",0.556976565304343
"Sacred Heart",0.704061210393015
"Western Kentucky",0.168166366726655
"UT Arlington",0.574229691876751
"Fordham",0.604809014912023
"Alabama St.",0.534192287673609
"Wichita St.",0.89111289031225
"Texas Tech",0.5402
"Michigan",0.441488297659532
